date,Equal Weight,Minimum Volatility,CVaR 95%
2024-02-29,-0.015084799341767648,-0.014792077464264567,-0.008594464686584856
2024-03-31,0.0,0.0,0.0
2024-04-30,0.029568064566349944,0.02026720955082427,-0.02252181669527741
2024-05-31,0.036916423044977976,0.016125387767598417,0.05059002405328659
2024-06-30,0.028617199312379774,0.039262186795821684,-0.02252181669527739
2024-07-31,0.017323730710932718,0.032148867222952265,0.01720797769350137
2024-08-31,-0.0015625100791359838,-0.010448901255932584,-0.022521816695277388
2024-09-30,-0.05411763754866865,-0.06423586163613726,-0.022521816695277384
2024-10-31,-0.004095215484221829,0.01162156172343751,0.009738102815626051
2024-11-30,0.040564196954815473,0.05397357023615598,0.0705219423120232
2024-12-31,0.010077799102016022,-0.008821873359946497,-0.0005304506444878451
2025-01-31,0.020561654979612525,0.021567129417307245,0.016640261961981238
2025-02-28,0.0359810203344788,0.012011285681509366,0.06978535542721653
2025-03-31,0.2160498445770073,0.015858259143881722,0.29162390546070166
2025-04-30,0.002196388978469875,0.01193488550459566,0.05927624748581854
2025-05-31,0.10397130778434173,0.07689015468980717,0.1383763247461478
2025-06-30,-0.008234074751050102,-4.1110907632137e-05,0.0011991085687154401
2025-07-31,0.025457977077178014,-0.01407294661076936,0.048206854837622035
2025-08-31,0.0060344115747957925,0.009722569310512526,0.007929042526178855
2025-09-30,0.005976138328125322,-0.0020257266059370118,0.0018901483708532348
2025-10-31,0.0005867465855469325,-0.005668078931289378,5.177826510870207e-05
2025-11-30,0.014202079243191477,0.028540709911724402,-0.008114536216376632
2025-12-31,-0.031618503097488336,-0.012993777107325136,-0.02252181669527737
2026-01-31,0.05683846288653371,0.04355037873922828,0.08641377378140352
