asset,weight
СберБанк,0.17251495580303777
Белинвестбанк,0.028751334871728873
Приорбанк,0.2631595458486351
МАПИД,0.07292983295073864
СлуцкСахарКомб,0.1721613974347374
Трест-35,0.04724710976523939
Минскпромстрой,0.24323582332588284
